trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
72;rev_009211.sql;rev_009230.sql;tiki_mypage_types;Insertion:UpdateTable;fix_dimensions;ENUM('NO','YES');false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypagewin;Insertion:UpdateTable;config;BLOB;false;0;-
72;rev_009211.sql;rev_009230.sql;tiki_mypagewin;Update:TypeChange;content;BLOB;false;0;-
73;rev_009230.sql;rev_009275.sql;tiki_mypagewin;Update:TypeChange;contenttype;VARCHAR(31);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypage;Insertion:UpdateTable;created;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypage;Insertion:UpdateTable;modified;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypage;Insertion:UpdateTable;viewed;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypage_types;Insertion:UpdateTable;created;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypage_types;Insertion:UpdateTable;modified;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypagewin;Insertion:UpdateTable;created;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypagewin;Insertion:UpdateTable;modified;INT(11);false;0;-
74;rev_009275.sql;rev_009281.sql;tiki_mypagewin;Insertion:UpdateTable;viewed;INT(11);false;0;-
75;rev_009281.sql;rev_009330.sql;tiki_mypage_types;Update:TypeChange;name;VARCHAR(255);false;0;-
76;rev_009330.sql;rev_009335.sql;-;-;-;-;-;-;-
77;rev_009335.sql;rev_009384.sql;tiki_mypagewin;Update:TypeChange;title;VARCHAR(255);false;0;-
78;rev_009384.sql;rev_009385.sql;users_users;Insertion:UpdateTable;openid_url;VARCHAR(255);false;0;-
79;rev_009385.sql;rev_009399.sql;tiki_mypage_types;Insertion:UpdateTable;templateuser;INT(11);false;0;-
80;rev_009399.sql;rev_009421.sql;tiki_mypage;Insertion:UpdateTable;winbgcolor;VARCHAR(16);false;0;-
80;rev_009399.sql;rev_009421.sql;tiki_mypage;Insertion:UpdateTable;wintextcolor;VARCHAR(16);false;0;-
80;rev_009399.sql;rev_009421.sql;tiki_mypage;Insertion:UpdateTable;wintitlecolor;VARCHAR(16);false;0;-
81;rev_009421.sql;rev_009440.sql;tiki_mypage;Insertion:UpdateTable;bgimage;VARCHAR(255);false;0;-
81;rev_009421.sql;rev_009440.sql;tiki_mypage;Insertion:UpdateTable;bgtype;ENUM('COLOR','IMAGEURL');false;0;-
81;rev_009421.sql;rev_009440.sql;tiki_mypage;Insertion:UpdateTable;winbgimage;VARCHAR(255);false;0;-
81;rev_009421.sql;rev_009440.sql;tiki_mypage;Insertion:UpdateTable;winbgtype;ENUM('COLOR','IMAGEURL');false;0;-
82;rev_009440.sql;rev_009501.sql;-;-;-;-;-;-;-
83;rev_009501.sql;rev_009512.sql;tiki_newsletter_included;Insertion:NewTable;includedId;INT(12);true;0;-
83;rev_009501.sql;rev_009512.sql;tiki_newsletter_included;Insertion:NewTable;nlId;INT(12);true;0;-
84;rev_009512.sql;rev_009556.sql;tiki_received_pages;Insertion:UpdateTable;page_alias;VARCHAR(250);false;0;-
84;rev_009512.sql;rev_009556.sql;tiki_received_pages;Insertion:UpdateTable;parentName;VARCHAR(250);false;0;-
84;rev_009512.sql;rev_009556.sql;tiki_received_pages;Insertion:UpdateTable;pos;INT(4);false;0;-
84;rev_009512.sql;rev_009556.sql;tiki_received_pages;Insertion:UpdateTable;structureName;VARCHAR(250);false;0;-
85;rev_009556.sql;rev_009581.sql;-;-;-;-;-;-;-
86;rev_009581.sql;rev_009591.sql;-;-;-;-;-;-;-
87;rev_009591.sql;rev_009600.sql;-;-;-;-;-;-;-
88;rev_009600.sql;rev_009614.sql;-;-;-;-;-;-;-
89;rev_009614.sql;rev_009616.sql;-;-;-;-;-;-;-
90;rev_009616.sql;rev_009738.sql;-;-;-;-;-;-;-
91;rev_009738.sql;rev_009865.sql;-;-;-;-;-;-;-
92;rev_009865.sql;rev_009866.sql;-;-;-;-;-;-;-
93;rev_009866.sql;rev_009867.sql;-;-;-;-;-;-;-
94;rev_009867.sql;rev_009882.sql;-;-;-;-;-;-;-
95;rev_009882.sql;rev_009923.sql;-;-;-;-;-;-;-
96;rev_009923.sql;rev_009953.sql;-;-;-;-;-;-;-
97;rev_009953.sql;rev_010305.sql;users_groups;Insertion:UpdateTable;userChoice;CHAR(1);false;0;-
98;rev_010305.sql;rev_010323.sql;-;-;-;-;-;-;-
99;rev_010323.sql;rev_010387.sql;users_groups;Insertion:UpdateTable;groupDefCat;INT(12);false;0;-
99;rev_010323.sql;rev_010387.sql;users_groups;Insertion:UpdateTable;groupThemechar;VARCHAR(255);false;0;-
